	sent_id	language	n_words	n_correct	uas	original_projective	parsed_successfully	has_valid_tree_structure	with_tools	n_tool_calls	lookup_morphology	retrieve_similar_sentences	retrieve_similar_sentences_bow	validate_dependency_tree	n_generated_tokens	n_tool_result_tokens
0	GUM_essay_system-41	eng	18	4	0.2222222222222222	True	True	True	False	0	0	0	0	0	8405	0
1	GUM_textbook_chemistry-48	eng	16	1	0.0625	True	False	True	False	0	0	0	0	0	10003	0
2	GUM_essay_fear-29	eng	24	0	0.0	False	False	True	False	0	0	0	0	0	10004	0
3	GUM_letter_attorney-42	eng	26	4	0.15384615384615385	True	False	True	False	0	0	0	0	0	10001	0
4	GUM_speech_newzealand-23	eng	21	0	0.0	True	False	True	False	0	0	0	0	0	10001	0
5	GUM_bio_jespersen-37	eng	19	2	0.10526315789473684	True	False	True	False	0	0	0	0	0	10004	0
6	GUM_essay_system-6	eng	10	4	0.4	True	True	True	False	0	0	0	0	0	4853	0
7	GUM_conversation_retirement-82	eng	15	11	0.7333333333333333	True	True	True	False	0	0	0	0	0	5290	0
8	GUM_textbook_union-50	eng	14	1	0.07142857142857142	True	False	True	False	0	0	0	0	0	10004	0
9	GUM_voyage_oakland-34	eng	15	2	0.13333333333333333	True	False	True	False	0	0	0	0	0	10004	0
10	LSDC_0138_DWF_201X_OWL_lipsk_werner-zahn_kür-mol-wedder-lippisch-platt_die-klassenfahrt	nds	14	2	0.14285714285714285	True	True	True	False	0	0	0	0	0	10004	0
11	LSDC_0207_DNS_1921_HAM_hamborg_de_rode_unnerrock	nds	13	2	0.15384615384615385	True	False	True	False	0	0	0	0	0	10004	0
12	LSDC_0045_DWF_1882_westfalen_bielefeld_-_in_der_spinnstuaben_bi_der_aulen_marigge_un_janhiarm_11	nds	12	7	0.5833333333333334	True	True	True	False	0	0	0	0	0	7328	0
13	LSDC_0236_NWF_20XX_ACH_achterhook_sprookjen	nds	21	2	0.09523809523809523	True	False	True	False	0	0	0	0	0	10004	0
14	LSDC_0410_NWF_20XX_ACH_achterhooksk_lange-afstands-romantiek	nds	23	7	0.30434782608695654	True	True	True	False	0	0	0	0	0	8815	0
15	LSDC_0032_DNS_1882_OFR_oustfreesland_bater_is_bater	nds	30	4	0.13333333333333333	True	False	True	False	0	0	0	0	0	10004	0
16	LSDC_0179_DWF_1931_OWL_ravensberg_heinrich-stolte_ravensberg_der-bauernhof-um-1870	nds	16	3	0.1875	True	True	True	False	0	0	0	0	0	9955	0
17	LSDC_0090_OFL_1846_bronswik_smelzkop_-_ower_de_kunst_jesunt_te_sin	nds	22	1	0.045454545454545456	True	False	True	False	0	0	0	0	0	10003	0
18	LSDC_0382_NWF_20XX_ACH_achterhooksk_lange-afstands-romantiek	nds	20	7	0.35	True	True	True	False	0	0	0	0	0	6544	0
19	LSDC_0156_DWF_1933_OWL_ravensbergsk_heinrich-stolte_das-neue-testament	nds	14	4	0.2857142857142857	True	True	True	False	0	0	0	0	0	8394	0
20	1303	nan	5	5	1.0	True	True	True	False	0	0	0	0	0	5884	0
21	433	mar	6	5	0.8333333333333334	True	True	True	False	0	0	0	0	0	8787	0
22	429	mar	5	5	1.0	True	True	True	False	0	0	0	0	0	7395	0
23	432	mar	6	2	0.3333333333333333	True	True	True	False	0	0	0	0	0	8303	0
24	434	mar	5	0	0.0	True	True	True	False	0	0	0	0	0	8091	0
25	411	mar	9	6	0.6666666666666666	True	True	True	False	0	0	0	0	0	4047	0
26	418	mar	6	4	0.6666666666666666	True	True	True	False	0	0	0	0	0	2512	0
27	400	mar	6	4	0.6666666666666666	True	True	True	False	0	0	0	0	0	6868	0
28	397	mar	6	0	0.0	True	True	True	False	0	0	0	0	0	9506	0
29	414	mar	10	5	0.5	True	True	True	False	0	0	0	0	0	6310	0
30	399	mar	8	7	0.875	True	True	True	False	0	0	0	0	0	6502	0
31	text-s180	vie	20	12	0.6	True	True	True	False	0	0	0	0	0	9039	0
32	text-s329	vie	12	2	0.16666666666666666	True	False	True	False	0	0	0	0	0	10006	0
33	text-s349	vie	14	3	0.21428571428571427	True	False	True	False	0	0	0	0	0	10003	0
34	text-s33	vie	17	11	0.6470588235294118	True	True	True	False	0	0	0	0	0	6424	0
35	text-s72	vie	13	13	1.0	True	True	True	False	0	0	0	0	0	8763	0
36	text-s396	vie	15	9	0.6	True	True	True	False	0	0	0	0	0	6484	0
37	test-s1604	vie	11	1	0.09090909090909091	True	True	True	False	0	0	0	0	0	6168	0
38	text-s355	vie	23	14	0.6086956521739131	True	True	True	False	0	0	0	0	0	9377	0
39	text-s332	vie	23	12	0.5217391304347826	True	True	True	False	0	0	0	0	0	7285	0
40	text-s508	vie	14	11	0.7857142857142857	True	True	True	False	0	0	0	0	0	6752	0
0	GUM_essay_system-41	eng	18	2	0.1111111111111111	True	True	True	True	2	0	0	0	2	3556	31
1	GUM_voyage_oakland-34	eng	15	8	0.5333333333333333	True	True	False	True	0	0	0	0	0	2064	0
2	LSDC_0179_DWF_1931_OWL_ravensberg_heinrich-stolte_ravensberg_der-bauernhof-um-1870	nds	16	3	0.1875	True	True	True	True	0	0	0	0	0	8883	0
3	LSDC_0045_DWF_1882_westfalen_bielefeld_-_in_der_spinnstuaben_bi_der_aulen_marigge_un_janhiarm_11	nds	12	5	0.4166666666666667	True	True	True	True	2	1	0	0	1	2799	858
4	LSDC_0138_DWF_201X_OWL_lipsk_werner-zahn_kür-mol-wedder-lippisch-platt_die-klassenfahrt	nds	14	10	0.7142857142857143	True	True	True	True	4	1	1	0	2	9913	3667
5	LSDC_0156_DWF_1933_OWL_ravensbergsk_heinrich-stolte_das-neue-testament	nds	14	5	0.35714285714285715	True	True	True	True	0	0	0	0	0	7457	0
6	LSDC_0207_DNS_1921_HAM_hamborg_de_rode_unnerrock	nds	13	5	0.38461538461538464	True	True	False	True	0	0	0	0	0	6896	0
7	LSDC_0090_OFL_1846_bronswik_smelzkop_-_ower_de_kunst_jesunt_te_sin	nds	22	10	0.45454545454545453	True	True	True	True	1	1	0	0	0	10222	2043
8	LSDC_0410_NWF_20XX_ACH_achterhooksk_lange-afstands-romantiek	nds	23	0	0.0	True	False	True	True	1	1	0	0	0	11678	2878
9	LSDC_0032_DNS_1882_OFR_oustfreesland_bater_is_bater	nds	30	5	0.16666666666666666	True	True	True	True	1	1	0	0	0	11067	3194
10	LSDC_0382_NWF_20XX_ACH_achterhooksk_lange-afstands-romantiek	nds	20	7	0.35	True	True	True	True	3	1	1	0	1	4566	8007
11	LSDC_0236_NWF_20XX_ACH_achterhook_sprookjen	nds	21	2	0.09523809523809523	True	True	False	True	3	1	1	0	1	8517	6062
12	168	nan	5	2	0.4	True	True	True	True	3	1	0	0	2	3370	351
13	1231	nan	4	4	1.0	True	True	True	True	3	1	1	0	1	1725	1454
14	1907	nan	5	4	0.8	True	True	True	True	0	0	0	0	0	567	0
15	1265	nan	3	3	1.0	True	True	True	True	3	1	0	1	1	1571	1105
16	1565	nan	5	5	1.0	True	True	True	True	2	1	0	0	1	1525	338
17	1635	nan	6	2	0.3333333333333333	True	True	True	True	3	2	1	0	0	5559	1190
18	943	nan	3	1	0.3333333333333333	True	True	True	True	1	1	0	0	0	1298	126
19	1393	nan	5	1	0.2	True	True	True	True	2	1	0	0	1	2083	336
20	49	nan	4	3	0.75	True	False	True	True	1	0	0	0	1	892	10
21	1303	nan	5	5	1.0	True	True	True	True	2	1	0	0	1	1772	290
22	418	mar	6	4	0.6666666666666666	True	True	True	True	1	1	0	0	0	1730	447
23	400	mar	6	4	0.6666666666666666	True	True	True	True	2	1	1	0	0	3804	2319
24	434	mar	5	2	0.4	True	True	True	True	2	1	0	0	1	1895	269
25	432	mar	6	2	0.3333333333333333	True	True	True	True	3	1	0	1	1	4241	2537
26	397	mar	6	1	0.16666666666666666	True	True	True	True	2	1	0	0	1	2587	421
27	411	mar	9	7	0.7777777777777778	True	True	True	True	0	0	0	0	0	5658	0
28	399	mar	8	5	0.625	True	True	True	True	2	1	0	0	1	2015	726
29	429	mar	5	5	1.0	True	True	True	True	2	1	0	0	1	1966	266
30	414	mar	10	6	0.6	True	True	True	True	3	1	0	1	1	6992	1421
31	433	mar	6	2	0.3333333333333333	True	True	True	True	5	1	1	0	3	6633	1946
32	text-s180	vie	20	11	0.55	True	True	True	True	2	1	1	0	0	7424	2461
33	text-s329	vie	12	8	0.6666666666666666	True	True	True	True	2	0	0	0	2	3258	30
34	text-s72	vie	13	12	0.9230769230769231	True	True	True	True	1	0	1	0	0	10455	3887
35	text-s396	vie	15	10	0.6666666666666666	True	True	True	True	0	0	0	0	0	7196	0
36	text-s355	vie	23	10	0.43478260869565216	True	True	True	True	4	1	0	0	3	8922	1628
37	text-s33	vie	17	10	0.5882352941176471	True	True	True	True	9	1	0	0	8	8138	1336
38	text-s332	vie	23	3	0.13043478260869565	True	False	True	True	0	0	0	0	0	10003	0
39	text-s508	vie	14	10	0.7142857142857143	True	True	True	True	2	0	1	0	1	2766	3484
40	text-s349	vie	14	9	0.6428571428571429	True	True	True	True	1	1	0	0	0	6345	1094
41	test-s1604	vie	11	2	0.18181818181818182	True	True	True	True	2	1	0	0	1	7234	770
